,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
MYRFL,0.20156017,0.13766679,0.4697909,0.22953601,0.16164455,0.36039364,0.35944796,0.05576756,0.1964766,0.34779105,0.06835966,1.5124862,0.75170505
CNOT2,2.437618,2.5097122,2.1950853,3.5058305,4.224998,0.5279564,1.7906837,2.6289062,2.8822439,1.8608465,1.9488868,3.773533,0.56668437
KCNMB4,0.16117884,0.17060705,0.5816889,0.18861051,0.32810992,0.6564855,0.23873854,0.1313564,0.368841,0.11072735,0.058770884,0.08588566,0.8679235
PTPRB,0.5884884,0.3327474,0.3772691,5.8185697,0.071515486,0.6572991,0.3713648,0.041883755,0.18076858,0.08622177,0.053036727,0.095526814,0.7001193
PTPRR,0.6796226,0.51983064,0.71870995,0.38645086,0.046408057,1.0786663,0.8876792,0.014496412,0.86285084,0.3052889,0.10890456,0.07483939,0.77510893
TSPAN8,0.91126674,0.58903533,1.039657,0.52618587,0.0185278,0.92305917,0.79773223,0.026991671,0.90725434,0.59532034,0.17165087,0.0105512515,0.8316067
LGR5,0.8689381,0.87325215,0.9171109,0.7635956,0.08221899,0.64339435,0.62324816,0.07102902,0.76353776,0.5802645,0.40927956,0.020618223,0.7299511
ZFC3H1,0.94637793,1.2679483,0.6096881,1.9242007,2.5954623,0.6452894,1.2411822,2.0308752,0.821363,1.571283,1.3282684,2.0141554,2.4599538
THAP2,0.12483069,0.19445628,0.45014378,0.108173706,0.1059582,0.38608542,0.24736129,0.04059952,0.30214983,0.09814326,0.061305717,0.14271516,0.6350444
TMEM19,0.23431532,0.21920212,0.43496692,0.25428876,0.07168549,0.45853528,0.3270683,0.18553531,0.29101133,0.20241126,0.057597626,0.21755052,0.67371833
RAB21,1.38928,0.33766982,0.7491922,1.2066242,0.94451976,0.6783477,0.6979932,0.7985072,2.0988934,0.93916184,0.6539195,1.1802151,0.5505559
TBC1D15,0.9574651,0.6885731,1.5506651,1.9563159,1.2412552,0.4642104,1.2396457,0.9450202,0.7112692,1.04663,1.1062175,1.9015952,0.39493254
TPH2,0.23823074,0.2487504,0.59171534,0.07419159,0.017558243,0.74557716,0.2791869,0.0057078633,0.65689516,0.13615967,0.02609127,0.30432114,0.70297706
TRHDE,3.988463,0.15349713,0.5492504,0.19808167,0.13872926,0.7634246,0.53027034,0.39871505,0.79429305,0.16146104,0.029845351,0.19525476,0.7857509
