,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
MMEL1,0.72375166,0.2282404,0.46892044,0.59370375,0.5478358,0.059581786,0.16890953,0.14116165,0.013894072,0.17632034,0.88017523,0.022065422,0.0048525846,0.15630342
AL831784.1,0.982763,0.96640736,1.061609,0.96528894,1.0628784,0.88358176,0.91772515,0.8084825,0.8963074,0.91619664,1.1215464,0.9364928,1.126931,0.6971419
TTC34,0.7735987,0.32199666,0.76700264,0.30099687,0.7995094,0.036590938,0.35890624,0.20679863,0.032424558,0.22859286,0.7696424,0.06796325,0.008542079,0.078476444
AC242022.2,1.3361254,1.408729,0.8259136,0.8360122,0.8460409,1.1468699,1.2007294,0.89074486,0.8515342,1.0506908,0.91727,0.9395081,0.6403069,0.60833836
AC242022.1,0.8838922,1.0127311,1.0175893,1.0709013,0.99269813,0.713765,1.0664177,0.80006564,0.58613396,0.7731528,0.7797563,0.8341044,0.76520747,0.698501
AL592464.2,0.9134276,1.0046725,1.0730306,0.8086624,1.0867804,0.88690144,0.93898124,1.0014558,0.8120273,0.9511877,0.8361143,0.958506,0.73278445,0.9572542
AL592464.3,1.0601873,1.3772901,0.94906664,0.91503954,0.7165316,0.8199446,0.94270355,0.8564528,0.9597296,0.965901,0.874306,0.80492127,0.6790722,0.55173796
AL592464.1,1.0910434,0.98633397,1.0588067,0.7337478,1.0391599,0.68323255,0.88642234,1.1004045,0.6441537,0.8734752,1.1477957,1.117787,0.80725676,0.6603269
AL589702.1,0.99433863,0.91272855,1.0707332,0.87761045,0.9982458,0.8527244,0.88440126,1.0347451,0.6323446,1.0313178,0.8986798,0.79153335,0.5063923,0.52205515
ACTRT2,1.0152562,0.9547795,1.0561728,0.9758051,1.0003649,0.8789358,0.7817156,0.99040306,0.95451516,0.9066805,0.75850195,0.73077124,0.8178834,0.8132428
PRDM16-DT,0.74839693,0.18879959,1.2949077,1.5027565,0.55782986,0.047524933,0.2528351,0.2152977,0.08794859,0.2841462,0.716602,0.048774227,0.030500133,0.7929956
PRDM16,0.78171104,0.31543535,2.1589463,3.0992448,0.6039503,0.14273727,0.9721912,1.4115425,2.3460674,0.70146394,2.2054765,0.09177361,0.058158137,6.8816285
AL008733.1,1.0103028,0.91665965,0.915521,0.85367936,0.8932002,0.8495435,1.2041569,1.0056171,0.8474242,1.0175004,0.8650668,0.89837223,0.8342636,0.5228668
AL590438.1,0.965997,0.8748467,1.0370284,0.71066517,0.8710012,0.7005125,0.8388388,0.9508377,0.49652892,1.0712624,0.7310857,0.6013566,0.2662935,0.46985996
AL354743.2,0.8503195,0.27909192,0.8065763,0.40196738,0.48248827,0.020020237,0.14720483,0.1416221,0.053755444,0.18608764,0.79024,0.024416892,0.003774385,0.16961321
AL354743.1,0.99050593,0.83212936,0.93693405,0.71949524,0.8489882,0.6601828,0.9820772,0.87838227,0.2429836,1.0258114,0.92552423,0.6835693,0.06559047,0.17165086
ARHGEF16,0.8040501,0.13577719,0.5719075,0.5504934,0.59287685,0.06806984,0.5907247,0.19645819,0.021134833,0.117686205,1.2320321,0.07335768,0.0457529,2.5138528
AL512413.1,0.9771079,0.69910675,0.7612286,0.4993105,0.9844581,0.04808215,0.5042723,0.63870394,0.012399922,0.46700695,0.74903834,0.06033032,0.0061405418,0.08128381
