,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
LUZP1,2.159257,0.2956207,0.31078693,1.432122,2.7379487,1.3270638,1.2285893,0.63272125,1.2327231,0.84663194,1.2345031,0.3564234,0.59358007,1.4509839
HTR1D,0.8470531,0.7704021,0.9870929,0.91099125,0.9705251,0.41713482,0.9942,0.7923214,0.8199299,0.91164976,0.9977473,0.8303269,0.48034215,0.5934159
LINC01355,0.7032938,0.48608533,0.2664867,0.58637226,0.5165192,0.49064177,0.7523205,0.22112802,0.280939,0.4984893,1.2109145,0.21149799,0.15377134,0.9945641
AL109936.6,1.5455747,0.23086421,0.7575064,0.54244655,0.63634706,0.18336575,0.7025731,0.29517892,0.02230266,0.18400562,0.8153311,0.03611751,0.044836815,0.37735146
HNRNPR,0.79971236,1.0548899,2.3545892,2.3478734,0.86586064,2.0128446,2.331655,1.1798036,1.2043223,1.4289079,2.6129344,1.3948824,1.0835207,3.8741531
ZNF436,0.89889485,0.33710048,0.7209804,0.18417375,1.6410775,0.081356145,0.4751848,0.27024618,0.038592514,0.29203042,0.74428195,0.050519917,0.016289562,0.106474295
ZNF436-AS1,0.9259781,0.26729178,1.0287515,0.3806344,0.85639656,0.24779117,0.18507591,0.16969298,0.02187184,0.18945384,1.1590447,0.020871265,0.014991685,0.04425361
AL109936.2,0.9805995,1.016604,1.1132766,1.0741622,0.96321595,0.9960032,0.99280626,0.70601296,0.57778543,0.8698503,0.8690075,0.9654173,0.37900168,0.5490149
TCEA3,0.88894725,0.1406843,1.1018234,3.012962,0.624059,0.37673062,1.0185839,0.20035972,0.05378826,0.39305168,0.5335222,0.042670824,0.027885443,1.3848845
ASAP3,0.9932532,0.21878007,0.49931195,1.3251396,1.1065457,1.0332494,0.54771245,0.18049215,0.037374485,0.17659289,0.9034281,0.17525633,0.03188983,0.31717506
E2F2,0.91363025,0.77249867,0.84781444,0.69443655,0.9013248,0.2177107,1.0359374,0.820299,0.14118528,0.8369485,1.1411821,0.2964694,0.043270364,0.011935874
AL021154.1,0.82440454,1.1951398,0.8188288,0.87167555,1.073134,0.919932,0.8910339,0.98693556,0.7433768,0.96018106,0.9701212,0.70611763,0.8595403,0.6583791
ID3,0.86514914,0.81057996,0.44096592,0.33036727,1.4689034,1.1771154,0.3742823,0.5517865,0.61723095,0.1847674,0.6277772,0.06683889,0.061823614,0.053671747
AL450043.1,0.91558826,0.9815085,1.1387973,1.1538916,0.7813948,0.9057384,0.7968931,0.8069063,0.7261013,0.9287697,0.7743392,0.9035827,0.57321686,0.56553423
MDS2,0.8458149,0.9875226,0.8421427,0.6941236,1.0178676,0.61866647,0.79683006,0.9688713,0.2508515,0.62616897,0.9079332,0.37347934,0.10498389,0.07926767
RPL11,1.0221415,0.25893053,0.64763904,0.8928796,0.6557693,0.8264494,0.8012837,0.5615389,1.0346255,0.2573779,1.0922749,0.75269556,0.85792613,1.5810186
ELOA-AS1,1.4832122,0.3133988,0.45938414,1.6281472,1.1314918,0.65829736,1.4611514,0.45191234,0.4629609,0.25515062,0.78343344,0.3430128,0.23016357,1.129968
ELOA,0.6619459,0.61688477,0.427916,0.29112017,0.62183774,0.3794015,0.73360354,0.48293224,0.30873236,0.13083188,1.2124152,0.36405763,0.14777541,0.42639798
PITHD1,0.9023101,0.17160466,1.0790255,0.09459541,0.6528401,0.24389781,0.21141611,0.19875742,0.3119763,0.2723526,0.6018221,0.44981474,0.25414342,0.60069937
LYPLA2,0.47259843,0.154523,0.66467166,0.37660795,0.53311896,0.10860043,0.18992235,0.18795827,0.22507106,0.121152066,0.48028818,0.04408643,0.03455817,0.3407941
GALE,0.89617443,0.28350475,2.0554082,1.413146,0.6144488,0.14777987,0.5383086,0.280935,0.23849858,0.4058985,1.7676167,0.22334045,0.10108154,4.114916
HMGCL,0.825091,0.3106151,0.3486476,0.5507082,0.53632927,0.432184,0.97515637,0.30256727,0.46728894,0.1276168,0.6123356,0.2467134,0.11623018,0.6498411
FUCA1,0.719646,0.1766214,0.32164037,0.604351,0.69350505,0.043033205,0.9975415,0.24679746,0.875261,0.14473033,0.57588077,0.13258462,0.060200956,0.47605067
CNR2,0.8521341,1.2890893,0.58570063,0.38715658,0.73399943,0.08144357,0.46471623,0.3322567,0.039089892,0.5276007,0.7755733,0.069909126,0.013439057,0.05716915
AL590609.3,0.9923768,0.76912725,1.0501039,0.92775214,1.0080552,0.8608765,1.0303229,0.93562555,0.86565936,1.1136876,0.87884986,1.1947445,0.67739064,0.82324404
PNRC2,1.6802425,0.15323424,0.29473677,0.6714302,0.44944033,0.23269577,0.47953433,0.37027046,0.5350984,0.24168515,0.4420582,0.5486511,0.39305976,1.7513398
SRSF10,2.5298653,1.661541,1.5713685,3.0631328,0.90480655,1.9084613,1.8787649,0.920114,1.4054682,1.3252268,2.1837652,1.4923465,1.1634363,7.3388243
AL591178.1,0.89703363,0.864014,1.055822,0.78920984,0.72579056,0.70008117,1.0091153,0.71070015,0.25781897,0.8322788,0.9428843,0.53914714,0.093058564,0.18496978
MYOM3,0.8235615,0.53872913,0.79165894,0.29928088,0.8964576,0.037177585,0.5470864,0.5657313,0.007750175,0.4912017,0.8844021,0.051667243,0.012687692,0.07731583
AL591178.2,0.79933476,1.2277557,1.0041909,0.90711635,0.9077387,0.8422575,1.1478989,1.1983174,0.5670683,0.91260314,1.1455519,0.86952144,0.8551657,0.65760756
IL22RA1,1.2943234,0.49976116,0.549341,0.5746638,0.86648047,0.0238118,0.32023585,0.3167312,0.007420169,0.38589782,0.6906276,0.0321908,0.0038944914,0.0928181
IFNLR1,0.9314926,0.84155816,0.66489935,0.6446598,0.79844546,0.021580053,0.37010968,0.16972344,0.31204575,0.19154488,0.7877468,0.8564567,0.079291336,0.3037996
LINC02800,0.9666534,0.7952446,0.81285936,1.0083591,0.91628605,0.7668311,0.9776474,0.89904505,1.2457016,1.1288127,0.87496,1.0604544,0.80424786,0.62431306
AL138902.1,0.90129155,0.91789025,0.79482776,0.83674383,0.895084,0.42477536,0.7807149,1.0978198,0.114229545,0.7879716,1.0560148,0.65870064,0.01844839,0.075276546
GRHL3,0.9383993,1.0974616,1.0448389,1.1412171,1.0276434,0.6791261,0.96359134,0.8739544,0.27711764,0.84637463,0.9684898,0.4769987,0.09545718,0.19423331
STPG1,0.87875056,0.15745363,0.31757277,0.5000943,1.3807702,0.16026968,0.693234,0.2883301,0.04596584,0.25144964,1.0841604,0.022108827,0.08661079,0.8291775
NIPAL3,0.93372923,0.73470914,0.7201518,1.8384489,1.0049542,0.38146052,1.8616152,0.93411565,0.61131865,0.89609885,1.5839893,0.6978263,1.1466721,1.5863518
RCAN3AS,0.9189611,0.22651078,0.37218451,0.61149585,0.62600577,0.09841274,0.42452282,0.1762473,0.06935521,0.21523097,0.73228776,0.04635182,0.2536956,0.25047627
RCAN3,1.2996264,0.4998653,0.77706295,1.1153697,0.6332644,0.17114688,1.7663522,0.5472706,0.49701488,0.16274282,1.3538548,0.1772669,1.2876384,0.8978529
NCMAP-DT,1.3723387,0.18037714,0.487682,0.32807845,0.56892395,0.02152103,0.6087867,0.22887667,0.039810777,0.14722936,0.612661,0.022473408,0.043057192,0.1913459
NCMAP,1.2336528,0.17691806,1.9956918,1.2657707,0.60746187,0.020190373,1.5980383,0.52648383,0.16378646,0.14474076,0.8070953,1.2653407,0.019440206,0.94623744
SRRM1,1.6933206,2.3793771,2.00772,1.6720538,1.4801012,2.0398452,2.1815886,1.0477175,2.3256807,1.4435354,2.1435537,1.8092045,1.5253514,3.9210832
AL445648.1,0.55238414,0.5593772,0.65510154,0.27220616,0.6610978,0.028670408,0.4653625,0.3987202,0.016303282,0.38924006,1.1766453,0.070983,0.008944056,0.13731952
CLIC4,1.4643773,1.6851045,0.38596606,0.639018,3.0348518,1.3081338,0.13631168,0.97709215,1.7895323,0.85964453,0.7368708,3.6785872,0.052660488,1.1073986
RUNX3,0.8402257,0.4905081,0.31137505,0.10147303,0.5265396,0.15883592,0.2288166,0.24287999,1.4811275,1.0291603,0.636159,0.24774313,2.1544766,0.15602902
AL445471.1,0.6738394,0.7351823,0.88235825,0.95629907,1.1229614,0.7683433,1.0907785,0.78719956,0.6719987,1.0207827,0.84619933,0.97309333,1.0891045,0.8940747
AL445471.2,0.80510646,0.9991353,1.0320318,0.8672097,0.92581,0.913378,0.8570004,0.39719424,0.7208333,1.0019453,0.7843823,1.039903,0.9471249,0.8438723
LINC02793,0.9604165,1.1503137,1.0187893,0.8176885,0.840347,0.96180505,1.052128,0.96933186,0.7922846,1.1673436,0.6745783,1.0366613,0.52857214,0.6367146
AL050344.1,0.9406634,0.9203512,0.79097044,0.9768927,1.4309,0.9360948,0.68959165,0.9419533,0.8096437,1.295803,1.0202718,0.9716471,0.6808929,0.74028176
AL031432.1,0.70385593,1.1383114,1.0106969,0.9247571,0.98605883,0.82346624,1.0543834,0.9200012,0.76755846,1.2202059,1.0546405,0.9312903,0.8150262,0.61685073
SYF2,0.72928005,0.1698391,0.77200496,0.3538193,0.8184546,0.14494537,0.40607083,0.3762129,0.23892455,0.265173,0.622124,0.22936262,0.15816168,0.44680527
AL031432.4,0.79596955,0.3933981,0.72594583,0.4139835,0.85310787,0.113152176,0.5017419,0.2655365,0.051940255,0.54760015,0.8584124,0.06379683,0.020980185,0.08203678
AL031432.5,1.103489,0.7632297,0.91586226,0.6922549,1.0909697,0.87725765,1.019083,1.2301413,0.88555807,0.7185984,0.807332,1.3599372,0.86808974,0.84953105
RSRP1,1.6732957,4.9263616,4.0242624,3.8924108,3.8215737,4.266995,5.754788,3.2676554,6.3994255,3.6344059,1.2296023,6.4792166,4.755282,13.209424
AL031432.3,0.8254507,0.97779506,0.97213626,1.2031834,0.8020831,0.8032207,1.0175776,0.79829854,0.53329474,0.95658857,1.0209304,1.000643,0.47527203,1.0075527
RHD,0.90083754,0.41037747,0.38444367,0.32906136,0.6293869,0.26636228,0.14574635,0.32582688,0.288212,0.1491966,1.1583437,0.07182041,0.17901477,0.32355258
TMEM50A,0.7706508,0.32709724,0.66395336,0.3905397,0.5923198,0.43978304,0.5413509,0.5806776,0.5684607,0.51608044,0.84894997,0.65696084,0.7369155,0.9816916
RHCE,0.7849298,0.76755524,0.7267208,0.67267716,0.94426817,0.10503398,0.77233994,0.7945777,0.039527074,0.6177021,0.7460399,0.0958789,0.016620457,0.04469569
MACO1,1.564302,0.7696986,0.6705171,1.2011377,2.0721846,0.7756701,2.6325257,0.8975326,1.1461414,0.54155886,2.4439638,2.4587598,0.76067275,2.5915077
LDLRAP1,1.5929319,0.1496253,0.29818004,0.521794,0.61216223,0.18271926,1.5525496,0.19708148,0.16862617,0.23467487,1.4095159,0.74724185,0.48590794,0.68857926
AL606491.1,0.76041555,0.2736919,0.6188963,0.16396497,0.85842127,0.040512014,0.61008024,0.18450053,0.022223823,0.17977849,0.65871114,0.24419989,0.022778317,0.022972241
MAN1C1,0.71640754,0.1657746,0.7049663,0.3740627,1.3259275,1.7296634,1.9671276,0.20699039,1.4090354,0.9778652,1.1817443,0.15353392,0.7138309,0.09024143
AL031280.1,0.8588356,0.57222265,0.7393725,0.4001444,0.642311,0.21759449,0.6268587,0.3891084,0.08244255,0.40716317,1.0851038,0.05624029,0.020222992,0.0069244136
SELENON,0.68699354,0.1684646,0.38285822,0.71334475,0.883515,0.24325019,0.31866065,0.2508076,0.16482885,0.13997333,0.75506175,0.11243603,0.086034685,0.3423647
AL020996.1,1.0234684,0.9399719,0.63589287,0.6511095,0.93822086,1.0205302,0.97651017,0.8333862,0.34206846,0.82177323,0.91122246,0.3048113,0.36116543,0.4267789
MTFR1L,1.2182772,0.1627637,0.8381236,0.10563595,1.6604958,0.30852818,0.4775035,0.20932278,0.27245763,0.39792642,0.7749205,0.24463621,0.08921059,0.3838051
AL020996.3,0.9943833,0.9224028,0.953059,1.0092235,0.9310175,0.9809061,1.0703326,1.0261904,0.76755816,0.82012457,1.140758,0.6368118,0.63873094,0.84819525
AUNIP,0.9359836,0.99346185,0.8899687,1.0193732,1.0165157,0.30358365,0.7957777,0.84408796,0.41248062,1.1687858,0.87384856,0.7602011,0.33473969,0.35045555
AL033528.2,1.0327445,0.7967583,0.8664407,0.6749178,0.9445961,0.28887823,0.6132374,0.8180847,0.09283699,0.87570566,0.9087185,0.31897894,0.016642421,0.08714292
PAQR7,0.98217845,0.33626485,0.64352167,0.21043898,0.9425278,0.15291394,0.19903709,0.26457682,0.09807238,0.46926984,0.98486334,0.026069744,0.0086132875,0.16752902
STMN1,1.1191866,0.4292759,0.46322015,0.25615266,0.91057307,0.16041434,0.710301,0.3614932,0.19850451,0.6032873,0.9329352,0.024301328,0.023840941,0.090924986
PAFAH2,0.97448945,0.24416922,0.31471652,0.41689846,0.79569644,0.13503887,0.98126596,0.21992755,0.23076832,0.40177062,0.7494765,0.11895195,0.14338246,0.26355895
EXTL1,0.9031773,0.8935011,0.9841401,0.9231409,0.7635889,0.88360757,0.99085546,0.80071855,0.5565835,1.0828307,0.91256785,0.8108637,0.8041071,0.73899806
SLC30A2,0.90129274,0.69842863,1.1826893,0.696287,0.6627265,0.48225665,0.7085982,0.65854543,0.19283037,0.960021,0.71142495,0.43271467,0.08554003,0.0845127
AL391650.2,0.8884619,1.2981685,1.001226,0.92439795,0.7712413,0.8893738,0.8010345,0.8176905,0.8290275,0.70514834,1.0871068,0.85099167,0.6037417,0.78660864
TRIM63,0.97568506,0.6837571,0.90437156,0.920804,0.93435955,0.18358497,0.91392624,0.6943326,0.04152611,0.94654584,0.8978365,0.24613012,0.021610774,0.019480294
PDIK1L,0.9218793,0.21103178,0.41922557,0.5696441,1.0650772,0.10682439,0.39357296,0.45188838,0.129459,0.18999869,0.61907214,0.5268887,0.094239935,0.25921884
FAM110D,0.79611355,0.9437507,0.8668794,0.9983224,1.116354,0.81200844,1.1560853,1.0266892,0.68466145,1.1983659,1.1810453,1.1079562,0.67261195,0.60313475
C1orf232,0.6955467,1.0313104,1.092238,0.9041047,0.765732,0.7403571,0.9023643,1.1591468,0.75564903,0.9210573,0.71126145,0.6973913,0.8042769,0.76444507
AL391650.1,1.0527347,0.73704904,0.72277445,0.8551423,0.7309572,0.84509766,1.320472,0.77262187,0.66298956,0.9554345,0.8300891,1.0528144,0.5753155,0.72085524
ZNF593,0.75677043,0.15153605,0.62619126,0.12766668,0.5479797,0.076722234,0.1782781,0.12698099,0.049220446,0.17521577,0.8044849,0.101718515,0.021041732,0.16089559
CNKSR1,0.87465847,0.14477858,0.6269179,0.17800395,0.6327778,0.052419215,0.32571557,0.094484076,0.048183966,0.2914915,0.64017314,0.48473287,0.027652511,1.0218748
CATSPER4,0.8931306,0.91984695,0.88712656,0.88314545,0.9496112,0.8203967,1.0077928,0.8537207,0.7450204,0.88666826,0.950914,0.9186258,0.35254243,0.44254085
CEP85,0.9248256,0.46032864,0.39874607,0.7259466,1.2481244,0.0533967,0.59372336,0.34889472,0.23364307,0.2854955,0.6786466,0.31866753,0.15452969,0.53817946
SH3BGRL3,0.7998236,0.16986524,0.3403021,0.10043434,0.5488265,0.104975805,0.12561974,0.48203993,0.32813105,0.11401137,0.58684593,0.26011273,0.23525196,1.0760305
UBXN11,0.7331535,0.16826744,0.6656263,0.15821737,0.6225071,0.13690448,0.32804394,0.20853974,0.4462846,0.27665168,0.60653263,0.06070806,0.16794473,0.26949188
CD52,0.7879076,0.80851,0.38499126,0.17433228,0.5229623,0.05279841,0.11718166,0.22741951,0.2051303,0.120054744,1.1403813,0.038777463,0.49739978,0.040659625
CRYBG2,0.98333174,0.20249678,0.39617878,0.11930432,0.69555396,0.019162167,0.18189062,0.26617742,0.01947148,0.36471137,0.69316196,0.021567022,0.024893455,0.3569085
ZNF683,0.97656083,0.4694296,0.79802585,0.30899242,0.92500305,0.020504784,0.29772103,0.3265173,0.008325583,0.42973024,0.75401807,0.035387106,0.11763897,0.005418289
LIN28A,0.99492526,1.1242001,0.64367133,0.8694184,0.73367876,0.85846305,0.9377224,0.72957176,0.79524976,0.9810239,0.91816396,0.9495772,0.30877423,0.86231405
DHDDS,1.5221251,0.80014426,0.78772604,0.7765416,0.95443565,0.40363145,0.9775324,0.66697514,0.44053593,0.3023747,0.5954972,0.5138829,0.21429974,1.6507399
AL513365.2,0.93133265,0.2099825,0.52197444,0.192145,0.6273322,0.12367443,0.42227644,0.26778418,0.06625042,0.29105783,1.3068724,0.1345923,0.07042405,0.17279835
HMGN2,1.7717339,0.6466036,0.6873637,0.5593151,1.1567826,0.8147862,1.3207346,0.42223865,1.0185997,0.36585578,0.50496924,0.7740204,0.4722726,1.021824
RPS6KA1,0.96126926,0.28677106,0.646171,0.26931703,1.0651686,0.07311787,0.11863053,0.0943618,1.0232562,0.47180688,0.6265951,0.34476185,0.22377108,0.8350996
AL512408.1,0.9092308,1.012877,0.9433857,0.9194287,1.0533204,0.76960075,0.9309644,0.7564053,0.79325616,1.1365924,1.0320703,0.8274527,0.48649985,0.97395563
ARID1A,0.8464,0.7790206,1.254215,1.4081755,1.7136768,1.8524071,3.1375628,1.0318804,3.0510523,1.3888136,0.59631145,2.5064042,1.9327384,4.558085
PIGV,0.90617955,0.26945695,0.4939877,0.12649365,0.7441135,0.10519402,0.10125827,0.23819754,0.04731155,0.20311278,0.7207497,0.022001859,0.042737078,0.15843172
ZDHHC18,0.8467036,0.20675704,0.3584272,0.2991464,0.5834882,0.2484216,0.21319342,0.45675728,0.3032134,0.48509958,0.6506919,0.5858277,0.27677992,0.32143635
SFN,0.8847763,0.25334132,0.54492,0.15615858,0.6877636,0.10942798,0.18889838,0.3068927,0.086329915,0.2381878,0.6354137,0.13558188,0.013813372,1.078322
GPN2,0.88045585,0.15598215,0.35241356,0.28625453,0.6642968,0.21842363,0.44743925,0.11413859,0.21615829,0.18565014,1.0674365,0.2057008,0.13481347,0.4026574
AL034380.1,0.855978,0.85931206,0.7957235,0.7999231,1.0567635,0.99967533,0.7828284,0.8784892,0.9097837,0.942909,1.0784433,1.0910625,0.9872923,0.7570789
GPATCH3,0.9155764,0.42309257,0.72056985,0.21652642,0.71831757,0.090853125,0.4261058,0.26564032,0.08533974,0.20039198,0.665298,0.024851112,0.035827957,0.14620726
NUDC,0.81034905,0.17466168,0.6996358,0.5448555,2.2103329,0.3287387,0.985253,0.29474533,0.341797,0.29434446,0.75466675,0.2988745,0.2191542,1.5874754
NR0B2,0.9007083,0.40218505,0.6442616,0.27914956,1.0281053,0.03062098,0.44214585,0.25171337,0.021823855,0.5710815,0.9734125,0.028008658,0.005210151,0.43400115
KDF1,0.6843689,0.10527516,0.26459026,0.26181242,0.5393305,0.024813795,0.20359114,0.08506503,0.01017598,0.12234045,0.6023127,0.021506064,0.014839314,0.34563768
TRNP1,0.70860624,0.15647385,0.41700724,0.07801362,0.54822963,0.15415898,0.9948188,0.32922354,0.020927768,0.12374229,0.7351288,0.067496754,0.06903283,2.4732697
TENT5B,0.86358434,0.6105193,0.91407114,0.5557739,0.8711174,0.049319603,0.37852237,0.5348631,0.016159585,0.6986257,0.72099274,0.089790925,0.005885276,0.12770337
SLC9A1,0.62271297,0.30912057,0.35150146,0.1638,0.4601768,0.53508025,0.3434476,0.63378376,0.23377335,0.9283991,0.800061,0.15782273,0.14988026,3.065836
AL590640.1,1.0088457,0.93091756,0.9658992,0.94939893,0.8211305,0.8071101,0.88621074,1.1285844,0.6246231,1.1216885,0.6608225,0.84657687,0.9924041,0.66375184
WDTC1,0.68434423,1.2571107,0.29756376,0.2814657,0.69827336,0.57796276,0.95775807,0.54099095,1.1447915,0.27417752,0.8090963,0.77209204,0.81649053,1.438421
TMEM222,0.8155839,0.52345663,0.34920734,0.4111092,0.6279701,0.3252992,0.53046745,0.30203593,0.21340707,0.16853252,1.3772265,0.21667059,0.16713075,0.6279865
SYTL1,0.9166721,0.49296367,0.684136,0.4692704,0.62361866,0.16094567,0.7908825,0.3846585,0.16855176,0.4152071,1.2771872,1.4557917,0.69270456,0.6135018
MAP3K6,0.5719039,0.16626737,0.33728105,0.09488909,0.8853247,0.37741485,0.09989599,0.306778,0.12141847,0.26852682,0.67154694,0.10576753,0.05615864,0.39870402
FCN3,0.79458153,0.849719,0.8446743,0.7544028,1.0953217,1.0383929,1.0878971,0.8463237,0.7715857,0.852255,1.2343075,0.6938549,0.6435028,0.6131191
CD164L2,0.9050929,1.1865896,0.9704499,0.9714158,0.9130075,1.0345818,1.0503219,1.0200729,0.5528847,0.93243694,0.8896914,1.0103508,0.89506894,0.7184497
GPR3,0.9085676,0.96325636,1.1701667,0.9471327,1.1151674,0.8617367,0.9974769,1.1260852,0.8826916,0.887721,0.8422316,0.9326084,0.8333993,0.8166142
WASF2,0.65096027,2.0677602,1.2402451,1.4147106,2.9559143,1.9560606,2.941522,1.2792327,3.4538476,1.2843707,2.1598673,2.424424,1.3538245,6.0039515
FO393419.2,0.8706577,0.28770843,0.578544,0.14349025,0.77105224,0.018983064,0.29679677,0.33940852,0.044035003,0.22364673,0.8675685,0.028824879,0.022466177,0.18189324
BX293535.1,0.8571795,0.6102877,0.7804887,0.5460115,1.0731925,0.15947153,0.86233383,0.76195216,0.01738767,0.73606336,0.8710494,0.19055305,0.055165466,0.078390926
AHDC1,1.4401646,0.17104648,0.2926045,0.6315738,0.59167653,1.122585,1.4450356,0.28524226,0.20069756,0.13664903,0.66084886,0.17615238,0.1166035,1.3003701
FGR,0.74458325,0.6688948,0.3158307,0.07704867,0.5831143,0.07601966,0.12608051,0.30594853,1.2940564,0.13778102,0.54466814,0.04549705,0.031964667,0.05488093
LINC02574,0.8635226,0.8367127,0.9302237,1.015421,0.8736608,0.6915661,0.9032848,1.0318959,0.69697344,1.0737832,0.8885617,1.0766633,0.8820938,0.7265996
IFI6,0.7561157,0.18576042,0.5238055,0.6666156,0.6296075,0.42886585,1.3365105,1.0378958,0.29330713,0.292085,0.57862717,0.12693456,0.090577036,1.0361906
AL445490.1,0.9342608,0.7703025,1.0280321,0.6691956,1.0120908,0.2411867,0.71636164,0.6295119,0.080474526,1.0184567,0.7242772,0.55003643,0.04402553,0.081308536
AL020997.5,0.80515254,0.49712425,1.0430236,0.9509626,0.9742511,0.65423644,0.89555645,0.856915,0.6478074,0.92223614,0.84010786,0.72922695,0.6274995,0.7484893
FAM76A,0.65977335,0.5399909,0.35608375,0.75443435,0.54647756,0.28275776,0.8965831,0.34649283,0.40520763,0.15472642,0.77207667,0.23438662,0.13352612,1.0521578
STX12,0.7790651,1.7656541,1.5003978,1.5436462,1.2631571,0.6913406,5.404464,0.9404174,2.8573394,0.61174333,1.6687657,1.130249,0.6346588,2.6699088
AL020997.2,1.044605,0.94935346,0.588092,0.848743,0.9360761,0.9893447,0.7983972,0.972962,0.65184397,0.9968011,1.0224712,0.8311219,0.75913024,0.9560906
AL020997.3,0.76755714,1.1206368,0.8163448,0.94530344,0.88617,0.7566222,0.97100633,1.0301244,0.53439945,0.9737014,0.6881173,1.1420149,0.48103032,0.5367473
AL020997.4,0.97354436,0.9036481,0.9164028,0.8518749,0.95523953,0.9889821,0.895802,0.9861848,0.3982238,0.8170665,0.73289275,0.977968,0.18269606,0.44915816
PPP1R8,0.60264486,0.17968625,0.32373476,0.2020923,0.5284477,0.17200531,0.6865672,0.26365036,0.28816125,0.54079396,0.731309,0.31967908,0.20644186,0.34842482
THEMIS2,0.8189196,0.3179499,0.32383555,0.06882387,0.50410795,0.13617797,0.21154413,1.3307054,5.1524806,0.47754586,0.6513346,1.7861696,0.25638384,0.20990525
RPA2,0.75529504,0.62888527,0.4110954,0.28774586,0.62022895,0.19006714,0.2534359,0.54460865,0.70896363,0.42543587,0.6245359,0.5451848,0.20320167,0.48467433
SMPDL3B,0.8904294,0.33492625,0.483029,0.13879602,0.54744345,0.021760738,0.3330426,0.14945073,0.06941069,0.18342052,0.7480439,0.19459686,0.00491761,0.26940894
AL512288.1,0.9689398,0.62697786,0.87370855,0.35438442,1.1125977,0.03243167,0.4160634,0.39463544,0.037923586,0.51413184,0.73681694,0.09936798,0.0049714255,0.122668974
XKR8,0.9119271,0.15852071,0.7159432,0.14382784,0.6444117,0.09742841,0.15236068,0.12850717,0.07618047,0.17708199,0.78098667,0.05973598,0.040904455,0.20338036
EYA3,2.5464277,1.1106818,2.6682248,1.4099485,2.209109,1.3640108,3.0588977,0.863422,1.9292862,0.5749948,1.2714634,1.7967534,0.8326659,3.2043157
PTAFR,0.908428,0.29477727,0.34877172,0.35140255,0.561741,0.06412893,0.13074435,0.3380968,1.3689058,0.7777211,0.721679,0.05713191,0.04592968,0.16035166
DNAJC8,0.7506665,0.44838807,0.41471446,0.69374406,0.48221824,0.1951357,0.8625202,0.53485835,0.5438543,0.6394887,0.7073153,0.62779474,0.33649245,1.1222476
ATP5IF1,0.5867423,0.15659313,0.62207186,1.2504686,1.39062,0.24256398,0.5518803,0.30478695,0.3828185,0.3502218,0.5248605,1.202724,0.35188195,2.4219315
